Asof;Cash
05.01.2000 00:00:00;95050.2603
05.01.2000 00:00:00;90103.0264
05.01.2000 00:00:00;85163.1664
05.01.2000 00:00:00;80238.5888
05.01.2000 00:00:00;75325.6954
05.01.2000 00:00:00;70433.7811
05.01.2000 00:00:00;65509.4187
05.01.2000 00:00:00;60562.1787
05.01.2000 00:00:00;55620.2787
05.01.2000 00:00:00;50694.8383
05.01.2000 00:00:00;45746.1053
05.01.2000 00:00:00;40823.4985
05.01.2000 00:00:00;35882.1856
05.01.2000 00:00:00;30937.8539
05.01.2000 00:00:00;26009.2986
05.01.2000 00:00:00;21071.4238
05.01.2000 00:00:00;16159.3505
05.01.2000 00:00:00;11220.9976
05.01.2000 00:00:00;6286.5860
05.01.2000 00:00:00;1366.7034
19.01.2000 00:00:00;6619.9274
19.01.2000 00:00:00;2738.2694
19.01.2000 00:00:00;-1134.3658
19.01.2000 00:00:00;-7573.6786
19.01.2000 00:00:00;-13625.1346
19.01.2000 00:00:00;-19168.6726
19.01.2000 00:00:00;-24379.6486
19.01.2000 00:00:00;-30388.4626
19.01.2000 00:00:00;-36383.4047
19.01.2000 00:00:00;-42191.6159
19.01.2000 00:00:00;-37089.4079
19.01.2000 00:00:00;-31263.1365
19.01.2000 00:00:00;-25643.3865
19.01.2000 00:00:00;-20781.4569
19.01.2000 00:00:00;-15627.7077
19.01.2000 00:00:00;-9710.7285
19.01.2000 00:00:00;-3742.7894
19.01.2000 00:00:00;2227.7879
27.01.2000 00:00:00;6696.2807
27.01.2000 00:00:00;10700.6327
02.02.2000 00:00:00;15730.8158
02.02.2000 00:00:00;11059.0758
02.02.2000 00:00:00;5096.3114
02.02.2000 00:00:00;-783.4928
02.02.2000 00:00:00;-6743.0566
02.02.2000 00:00:00;-12706.9991
02.02.2000 00:00:00;-18656.9991
02.02.2000 00:00:00;-6697.2016
02.02.2000 00:00:00;-747.2016
02.02.2000 00:00:00;5216.7409
03.02.2000 00:00:00;11068.5003
16.02.2000 00:00:00;3686.2349
16.02.2000 00:00:00;-3723.2946
16.02.2000 00:00:00;-17951.0617
16.02.2000 00:00:00;-28435.8507
16.02.2000 00:00:00;-32729.4649
16.02.2000 00:00:00;-35941.6573
16.02.2000 00:00:00;-43354.2480
16.02.2000 00:00:00;-37954.9504
16.02.2000 00:00:00;-31903.5689
16.02.2000 00:00:00;-25865.4697
16.02.2000 00:00:00;-19984.1365
16.02.2000 00:00:00;-6473.8133
16.02.2000 00:00:00;491.7180
16.02.2000 00:00:00;4398.1877
23.02.2000 00:00:00;-3334.3881
23.02.2000 00:00:00;-11081.8062
23.02.2000 00:00:00;-18818.9253
23.02.2000 00:00:00;-11753.4647
23.02.2000 00:00:00;1395.0448
02.03.2000 00:00:00;8960.4149
08.03.2000 00:00:00;12506.5951
08.03.2000 00:00:00;6721.5129
08.03.2000 00:00:00;-2461.4476
08.03.2000 00:00:00;-11647.5440
08.03.2000 00:00:00;-29561.4142
08.03.2000 00:00:00;-33107.5944
08.03.2000 00:00:00;-20310.5092
08.03.2000 00:00:00;-377.3092
08.03.2000 00:00:00;4820.2562
09.03.2000 00:00:00;8881.7422
14.03.2000 00:00:00;15986.2510
14.03.2000 00:00:00;22546.7019
14.03.2000 00:00:00;34823.4857
15.03.2000 00:00:00;34941.0990
15.03.2000 00:00:00;41758.3631
15.03.2000 00:00:00;34596.8618
15.03.2000 00:00:00;27386.2357
15.03.2000 00:00:00;20181.7224
