PortfolioAsof;PortfolioValue;AllocationToRisk
03.01.2000 00:00:00;100000;0
04.01.2000 00:00:00;100000;0
05.01.2000 00:00:00;100000;0
06.01.2000 00:00:00;97999.5626;0.9847
10.01.2000 00:00:00;107012.6012;0.9860
11.01.2000 00:00:00;105018.1412;0.9857
12.01.2000 00:00:00;103198.1639;0.9855
13.01.2000 00:00:00;104789.7639;0.9638
17.01.2000 00:00:00;110501.2651;0.9657
18.01.2000 00:00:00;109613.8259;0.9654
19.01.2000 00:00:00;110119.9807;0.9656
20.01.2000 00:00:00;111792.5504;0.9638
24.01.2000 00:00:00;114446.4828;0.9646
25.01.2000 00:00:00;115414.6756;0.9649
26.01.2000 00:00:00;116974.3038;0.9654
27.01.2000 00:00:00;116731.0013;0.9868
31.01.2000 00:00:00;114557.8901;0.9865
01.02.2000 00:00:00;118504.3576;0.9870
02.02.2000 00:00:00;122880.3638;0.9875
03.02.2000 00:00:00;129115.3547;0.9851
07.02.2000 00:00:00;137945.8706;0.9861
08.02.2000 00:00:00;139731.9043;0.9862
09.02.2000 00:00:00;141195.8981;0.9864
10.02.2000 00:00:00;142907.9988;0.9768
14.02.2000 00:00:00;152613.5443;0.9783
15.02.2000 00:00:00;157439.1867;0.9789
16.02.2000 00:00:00;161925.3148;0.9795
17.02.2000 00:00:00;161615.7792;0.9756
21.02.2000 00:00:00;153798.7796;0.9743
22.02.2000 00:00:00;156484.8950;0.9748
23.02.2000 00:00:00;158763.7862;0.9751
24.02.2000 00:00:00;168444.1206;0.9766
28.02.2000 00:00:00;180764.3799;0.9782
29.02.2000 00:00:00;177652.2225;0.9778
01.03.2000 00:00:00;180641.7439;0.9781
02.03.2000 00:00:00;188002.4385;0.9767
06.03.2000 00:00:00;195819.7378;0.9777
07.03.2000 00:00:00;198027.9433;0.9779
08.03.2000 00:00:00;195573.6396;0.9776
09.03.2000 00:00:00;193046.6489;0.9752
13.03.2000 00:00:00;186451.6120;0.9743
14.03.2000 00:00:00;183695.2768;0.9739
15.03.2000 00:00:00;171113.6578;0.9720
16.03.2000 00:00:00;163340.5010;0.9707
20.03.2000 00:00:00;167700.2899;0.9714
21.03.2000 00:00:00;165200.2132;0.9710
22.03.2000 00:00:00;163322.4657;0.9707
23.03.2000 00:00:00;157446.8209;0.9696
27.03.2000 00:00:00;165467.6456;0.9645
28.03.2000 00:00:00;164483.6848;0.9643
29.03.2000 00:00:00;155897.0245;0.9623
30.03.2000 00:00:00;151292.8527;0.9612
03.04.2000 00:00:00;136621.6313;0.9546
04.04.2000 00:00:00;133172.2532;0.9534
05.04.2000 00:00:00;126987.1340;0.7094
06.04.2000 00:00:00;134914.1553;0.9954
10.04.2000 00:00:00;139336.9298;0.9488
11.04.2000 00:00:00;136008.1722;0.9476
12.04.2000 00:00:00;134560.0322;0.9470
13.04.2000 00:00:00;131160.4683;0.9971
17.04.2000 00:00:00;121773.3467;0.9969
18.04.2000 00:00:00;131000.0169;0.9967
19.04.2000 00:00:00;131417.3125;0.9967
20.04.2000 00:00:00;132302.3633;0.9766
24.04.2000 00:00:00;129560.3331;0.9761
25.04.2000 00:00:00;136875.7002;0.9774
26.04.2000 00:00:00;137419.4815;0.9775
27.04.2000 00:00:00;140867.4275;0.9929
01.05.2000 00:00:00;145560.3772;0.9931
02.05.2000 00:00:00;146688.6649;0.9932
03.05.2000 00:00:00;144910.3658;0.9931
04.05.2000 00:00:00;146520.4852;0.9931
08.05.2000 00:00:00;147703.1330;0.9932
09.05.2000 00:00:00;143716.0001;0.9930
10.05.2000 00:00:00;139875.1304;0.9928
11.05.2000 00:00:00;145787.6697;0.9774
15.05.2000 00:00:00;145653.7075;0.9774
16.05.2000 00:00:00;148401.4257;0.9778
17.05.2000 00:00:00;149242.1862;0.9779
18.05.2000 00:00:00;146604.5908;0.9775
22.05.2000 00:00:00;137062.0752;0.9760
23.05.2000 00:00:00;135752.0941;0.9757
24.05.2000 00:00:00;133995.4923;0.9754
25.05.2000 00:00:00;133591.2869;0.9870
29.05.2000 00:00:00;131506.1579;0.9868
30.05.2000 00:00:00;134839.0106;0.9871
31.05.2000 00:00:00;136429.6246;0.9433
01.06.2000 00:00:00;137331.4892;0.9762
05.06.2000 00:00:00;135139.1287;0.9759
06.06.2000 00:00:00;134405.8294;0.9305
07.06.2000 00:00:00;133195.2041;0.9299
08.06.2000 00:00:00;133179.2717;0.9988
12.06.2000 00:00:00;133014.5432;0.9988
13.06.2000 00:00:00;132674.7018;0.9988
14.06.2000 00:00:00;133712.0605;0.9988
15.06.2000 00:00:00;135516.4448;0.9989
19.06.2000 00:00:00;136277.6375;0.9989
20.06.2000 00:00:00;138038.3033;0.9989
21.06.2000 00:00:00;137931.2235;0.9509
22.06.2000 00:00:00;137044.4863;0.9615
26.06.2000 00:00:00;136619.4520;0.9190
27.06.2000 00:00:00;135205.9147;0.9182
28.06.2000 00:00:00;135963.9452;0.9186
29.06.2000 00:00:00;133958.8949;0.9734
03.07.2000 00:00:00;135936.6854;0.9738
04.07.2000 00:00:00;135912.5464;0.9738
05.07.2000 00:00:00;135430.3410;0.9737
06.07.2000 00:00:00;137346.2427;0.9983
10.07.2000 00:00:00;138521.3846;0.9983
11.07.2000 00:00:00;140035.2025;0.9983
12.07.2000 00:00:00;143372.9818;0.9983
13.07.2000 00:00:00;142088.9900;0.9684
