TransactionDateTime;SecurityId;Shares;TargetAmountEur;TransactionType;Cancelled;TargetWeight;EffectiveWeight;EffectiveAmountEur;TicketFee
23.03.2000 00:00:00;405359;-221;-1188;3;0;0.05;-0.0076;-1192.2577;50
30.03.2000 00:00:00;405359;-1449;-7886;2;0;0;-0.0497;-7891.0917;50
04.04.2000 00:00:00;431150;-596;-15400;3;0;0.10850;-0.1087;-15423.9416;50
05.04.2000 00:00:00;433267;-61;-6828;3;0;0.05;-0.0508;-6828.462;50
05.04.2000 00:00:00;403811;-614;-3247;2;0;0;-0.0242;-3247.0591;50
24.05.2000 00:00:00;421256;-138;-6622;2;0;0;-0.0465;-6670.3188;50
24.05.2000 00:00:00;431150;-285;-6576;3;0;0.05;-0.0460;-6597.0215;50
05.07.2000 00:00:00;431150;-9;-214;3;0;0.05;-0.0015;-223.5341;50
12.07.2000 00:00:00;431150;-301;-7024;2;0;0;-0.0445;-7047.0317;50
27.07.2000 00:00:00;404161;-190;-6975;2;0;0;-0.0434;-6975.3346;50
03.08.2000 00:00:00;404131;-1233;-6633;2;0;0;-0.0414;-6633.2022;50
07.08.2000 00:00:00;402063;-323;-7318;2;0;0;-0.0443;-7318.4755;50
25.10.2000 00:00:00;404246;-531;-16805;3;0;0.05;-0.0944;-16812.5751;50
01.11.2000 00:00:00;404246;-282;-7529;2;0;0;-0.0428;-7555.4822;50
21.11.2000 00:00:00;427988;-184;-7805;2;0;0;-0.0461;-7847.5514;50
25.01.2001 00:00:00;433011;-21536;-7471;2;0;0;-0.0457;-7471.1660;50
07.06.2001 00:00:00;421268;-418;-8062;2;0;0;-0.0447;-8080.8361;50
14.06.2001 00:00:00;414662;-242;-7715;2;0;0;-0.0435;-7746.8010;50
25.06.2001 00:00:00;412620;-2573;-8619;3;0;0.05;-0.0509;-8621.9365;50
26.06.2001 00:00:00;400758;-326;-7912;2;0;0;-0.0468;-7936.0888;50
27.06.2001 00:00:00;424978;-6746;-16883;3;0;0.10085;-0.1009;-16885.4609;50
10.07.2001 00:00:00;424978;-3559;-9412;3;0;0.05;-0.0559;-9413.0656;50
17.07.2001 00:00:00;424978;-3182;-7637;2;0;0;-0.0439;-7637.2455;50
18.07.2001 00:00:00;405415;-12132;-7342;2;0;0;-0.0429;-7342.2524;50
30.07.2001 00:00:00;424374;-820;-7282;2;0;0;-0.0430;-7282.0625;50
31.07.2001 00:00:00;412620;-2527;-8163;2;0;0;-0.0478;-8163.1014;50
09.08.2001 00:00:00;402698;-2789;-7967;2;0;0;-0.0478;-7967.3851;50
21.08.2001 00:00:00;414416;-176;-8579;3;0;0.05;-0.0529;-8602.5627;50
21.08.2001 00:00:00;402072;-33;-539;3;0;0.05;-0.0034;-550.6369;50
27.08.2001 00:00:00;425446;-170;-4922;3;0;0.05;-0.0305;-4943.9018;50
06.09.2001 00:00:00;405325;-139;-620;3;0;0.05;-0.0040;-621.8394;50
10.09.2001 00:00:00;414416;-2;-75;3;0;0.05;-0.0006;-92.3930;50
18.09.2001 00:00:00;414416;-165;-7555;2;0;0;-0.0504;-7600.8488;50
20.09.2001 00:00:00;414454;-429;-8098;3;0;0.05;-0.0539;-8111.7202;50
