TransactionDateTime;SecurityId;Shares;TargetAmountEur;TransactionType;Cancelled;TargetWeight;EffectiveWeight;EffectiveAmountEur;TicketFee
05.01.2000 00:00:00;404188;65;5000.00;1;0;0.05;0.0492;4924.5776;50
05.01.2000 00:00:00;412251;157;5000.00;1;0;0.05;0.0499;4986.6401;50
05.01.2000 00:00:00;405461;1136;5000.00;1;0;0.05;0.0500;4995.6372;50
05.01.2000 00:00:00;431150;446;5000.00;1;0;0.05;0.0500;4996.6377;50
05.01.2000 00:00:00;403811;1138;5000.00;1;0;0.05;0.0500;4998.096;50
05.01.2000 00:00:00;428530;396;5000.00;1;0;0.05;0.0499;4988.3011;50
05.01.2000 00:00:00;433267;72;5000.00;1;0;0.05;0.0495;4951.4832;50
05.01.2000 00:00:00;403721;85;5000.00;1;0;0.05;0.0495;4950.1514;50
05.01.2000 00:00:00;405359;1669;5000.00;1;0;0.05;0.0500;4999.9501;50
05.01.2000 00:00:00;400028;148;5000.00;1;0;0.05;0.0497;4972.7998;50
05.01.2000 00:00:00;404143;131;5000.00;1;0;0.05;0.0498;4976.3402;50
05.01.2000 00:00:00;406166;327;5000.00;1;0;0.05;0.0500;4997.4180;50
05.01.2000 00:00:00;421245;70;5000.00;1;0;0.05;0.0493;4932.5955;50
05.01.2000 00:00:00;404207;118;5000.00;1;0;0.05;0.0496;4964.6804;50
05.01.2000 00:00:00;404048;1269;5000.00;1;0;0.05;0.0500;4999.0771;50
05.01.2000 00:00:00;405619;372;5000.00;1;0;0.05;0.0500;4998.7217;50
05.01.2000 00:00:00;427614;866;5000.00;1;0;0.05;0.0500;4995.3478;50
05.01.2000 00:00:00;411936;128;5000.00;1;0;0.05;0.0500;4997.9760;50
05.01.2000 00:00:00;403730;146;5000.00;1;0;0.05;0.0498;4976.0614;50
05.01.2000 00:00:00;414217;146;2910.0000;1;0;0.0291;0.0290;2899.0198;50
12.01.2000 00:00:00;404131;1234;5159.9082;1;0;0.05;0.0500;5158.0595;50
12.01.2000 00:00:00;431842;1124;5159.9082;1;0;0.05;0.0500;5159.3448;50
12.01.2000 00:00:00;414217;-147;-2826;2;0;0;-0.0276;-2845.1468;50
12.01.2000 00:00:00;411936;-128;-5073;2;0;0;-0.0492;-5073.0816;50
12.01.2000 00:00:00;427614;-867;-4937;2;0;0;-0.0479;-4942.2706;50
19.01.2000 00:00:00;431150;261;4071;3;0;0.10;0.0369;4061.6983;50
19.01.2000 00:00:00;405461;913;4909;3;0;0.10;0.0445;4904.636;50
19.01.2000 00:00:00;403811;961;5043;3;0;0.10;0.0458;5040.3299;50
19.01.2000 00:00:00;400028;-148;-4440;2;0;0;-0.0403;-4440;50
