Asof;SecurityId;Price;AdjustedPrice
30.12.1927 00:00:00;727;17.66;17.66
03.01.1928 00:00:00;727;17.76;17.76
04.01.1928 00:00:00;727;17.72;17.72
05.01.1928 00:00:00;727;17.55;17.55
06.01.1928 00:00:00;727;17.66;17.66
09.01.1928 00:00:00;727;17.5;17.5
10.01.1928 00:00:00;727;17.37;17.37
11.01.1928 00:00:00;727;17.35;17.35
12.01.1928 00:00:00;727;17.47;17.47
13.01.1928 00:00:00;727;17.58;17.58
16.01.1928 00:00:00;727;17.29;17.29
17.01.1928 00:00:00;727;17.3;17.3
18.01.1928 00:00:00;727;17.26;17.26
19.01.1928 00:00:00;727;17.38;17.38
20.01.1928 00:00:00;727;17.48;17.48
23.01.1928 00:00:00;727;17.64;17.64
24.01.1928 00:00:00;727;17.71;17.71
25.01.1928 00:00:00;727;17.52;17.52
26.01.1928 00:00:00;727;17.63;17.63
27.01.1928 00:00:00;727;17.69;17.69
30.01.1928 00:00:00;727;17.49;17.49
31.01.1928 00:00:00;727;17.57;17.57
01.02.1928 00:00:00;727;17.53;17.53
02.02.1928 00:00:00;727;17.63;17.63
03.02.1928 00:00:00;727;17.4;17.4
06.02.1928 00:00:00;727;17.45;17.45
07.02.1928 00:00:00;727;17.44;17.44
08.02.1928 00:00:00;727;17.49;17.49
09.02.1928 00:00:00;727;17.55;17.55
10.02.1928 00:00:00;727;17.54;17.54
14.02.1928 00:00:00;727;17.44;17.44
15.02.1928 00:00:00;727;17.4;17.4
16.02.1928 00:00:00;727;17.35;17.35
17.02.1928 00:00:00;727;17.04;17.04
20.02.1928 00:00:00;727;16.95;16.95
21.02.1928 00:00:00;727;17.11;17.11
23.02.1928 00:00:00;727;17.13;17.13
24.02.1928 00:00:00;727;17.18;17.18
27.02.1928 00:00:00;727;17.11;17.11
28.02.1928 00:00:00;727;17.16;17.16
29.02.1928 00:00:00;727;17.26;17.26
01.03.1928 00:00:00;727;17.3;17.3
02.03.1928 00:00:00;727;17.3;17.3
05.03.1928 00:00:00;727;17.57;17.57
06.03.1928 00:00:00;727;17.67;17.67
07.03.1928 00:00:00;727;17.58;17.58
08.03.1928 00:00:00;727;17.64;17.64
09.03.1928 00:00:00;727;17.93;17.93
12.03.1928 00:00:00;727;18;18
13.03.1928 00:00:00;727;17.92;17.92
14.03.1928 00:00:00;727;17.93;17.93
15.03.1928 00:00:00;727;18.07;18.07
16.03.1928 00:00:00;727;18.26;18.26
19.03.1928 00:00:00;727;18.36;18.36
20.03.1928 00:00:00;727;18.46;18.46
21.03.1928 00:00:00;727;18.65;18.65
22.03.1928 00:00:00;727;18.6;18.6
23.03.1928 00:00:00;727;18.78;18.78
26.03.1928 00:00:00;727;19.05;19.05
27.03.1928 00:00:00;727;18.94;18.94
28.03.1928 00:00:00;727;18.89;18.89
29.03.1928 00:00:00;727;18.95;18.95
30.03.1928 00:00:00;727;19.28;19.28
02.04.1928 00:00:00;727;18.91;18.91
03.04.1928 00:00:00;727;19.02;19.02
04.04.1928 00:00:00;727;18.99;18.99
05.04.1928 00:00:00;727;19.23;19.23
09.04.1928 00:00:00;727;19.27;19.27
10.04.1928 00:00:00;727;19.1;19.1
11.04.1928 00:00:00;727;19.44;19.44
12.04.1928 00:00:00;727;19.41;19.41
13.04.1928 00:00:00;727;19.73;19.73
16.04.1928 00:00:00;727;19.68;19.68
17.04.1928 00:00:00;727;19.52;19.52
18.04.1928 00:00:00;727;19.52;19.52
19.04.1928 00:00:00;727;19.63;19.63
20.04.1928 00:00:00;727;19.34;19.34
23.04.1928 00:00:00;727;19.15;19.15
24.04.1928 00:00:00;727;19.25;19.25
25.04.1928 00:00:00;727;19.33;19.33
26.04.1928 00:00:00;727;19.47;19.47
27.04.1928 00:00:00;727;19.68;19.68
30.04.1928 00:00:00;727;19.75;19.75
01.05.1928 00:00:00;727;19.78;19.78
02.05.1928 00:00:00;727;19.83;19.83
03.05.1928 00:00:00;727;19.93;19.93
04.05.1928 00:00:00;727;20.24;20.24
07.05.1928 00:00:00;727;20.41;20.41
08.05.1928 00:00:00;727;20.27;20.27
09.05.1928 00:00:00;727;20.24;20.24
10.05.1928 00:00:00;727;20.21;20.21
11.05.1928 00:00:00;727;20.36;20.36
14.05.1928 00:00:00;727;20.44;20.44
15.05.1928 00:00:00;727;20.39;20.39
16.05.1928 00:00:00;727;20.05;20.05
17.05.1928 00:00:00;727;20.12;20.12
18.05.1928 00:00:00;727;19.92;19.92
21.05.1928 00:00:00;727;19.63;19.63
22.05.1928 00:00:00;727;19.36;19.36
23.05.1928 00:00:00;727;19.75;19.75
24.05.1928 00:00:00;727;19.87;19.87
25.05.1928 00:00:00;727;19.9;19.9
28.05.1928 00:00:00;727;19.57;19.57
29.05.1928 00:00:00;727;19.82;19.82
31.05.1928 00:00:00;727;20;20
01.06.1928 00:00:00;727;20.07;20.07
04.06.1928 00:00:00;727;19.8;19.8
05.06.1928 00:00:00;727;19.85;19.85
06.06.1928 00:00:00;727;19.66;19.66
07.06.1928 00:00:00;727;19.61;19.61
08.06.1928 00:00:00;727;19.37;19.37
11.06.1928 00:00:00;727;18.68;18.68
12.06.1928 00:00:00;727;18.34;18.34
13.06.1928 00:00:00;727;18.89;18.89
14.06.1928 00:00:00;727;19.05;19.05
15.06.1928 00:00:00;727;18.74;18.74
18.06.1928 00:00:00;727;18.4;18.4
19.06.1928 00:00:00;727;18.34;18.34
20.06.1928 00:00:00;727;18.57;18.57
21.06.1928 00:00:00;727;18.56;18.56
22.06.1928 00:00:00;727;18.54;18.54
25.06.1928 00:00:00;727;18.47;18.47
26.06.1928 00:00:00;727;18.68;18.68
27.06.1928 00:00:00;727;18.86;18.86
28.06.1928 00:00:00;727;19.07;19.07
29.06.1928 00:00:00;727;19.14;19.14
02.07.1928 00:00:00;727;18.98;18.98
03.07.1928 00:00:00;727;19.29;19.29
05.07.1928 00:00:00;727;19.48;19.48
06.07.1928 00:00:00;727;19.39;19.39
09.07.1928 00:00:00;727;19.46;19.46
10.07.1928 00:00:00;727;19.43;19.43
11.07.1928 00:00:00;727;18.95;18.95
12.07.1928 00:00:00;727;18.81;18.81
13.07.1928 00:00:00;727;18.96;18.96
16.07.1928 00:00:00;727;18.7;18.7
17.07.1928 00:00:00;727;18.8;18.8
18.07.1928 00:00:00;727;19.03;19.03
19.07.1928 00:00:00;727;18.99;18.99
20.07.1928 00:00:00;727;19.03;19.03
23.07.1928 00:00:00;727;19.12;19.12
24.07.1928 00:00:00;727;19.09;19.09
