Asof;Price;SecurityId;AdjustedPrice
05.07.2001 00:00:00;3.1;405410;3.1
06.07.2001 00:00:00;2.988;405410;2.988
09.07.2001 00:00:00;2.948;405410;2.948
10.07.2001 00:00:00;2.9;405410;2.9
11.07.2001 00:00:00;2.875;405410;2.875
12.07.2001 00:00:00;2.919;405410;2.919
13.07.2001 00:00:00;2.911;405410;2.911
16.07.2001 00:00:00;2.941;405410;2.941
17.07.2001 00:00:00;2.995;405410;2.995
18.07.2001 00:00:00;3;405410;3
19.07.2001 00:00:00;3.04;405410;3.04
20.07.2001 00:00:00;3.095;405410;3.095
23.07.2001 00:00:00;3.079;405410;3.079
24.07.2001 00:00:00;3.039;405410;3.039
25.07.2001 00:00:00;3.001;405410;3.001
26.07.2001 00:00:00;3.037;405410;3.037
27.07.2001 00:00:00;3.039;405410;3.039
30.07.2001 00:00:00;3.023;405410;3.023
31.07.2001 00:00:00;3.1;405410;3.1
01.08.2001 00:00:00;3.02;405410;3.02
02.08.2001 00:00:00;3.005;405410;3.005
03.08.2001 00:00:00;3.012;405410;3.012
06.08.2001 00:00:00;3;405410;3
07.08.2001 00:00:00;2.995;405410;2.995
08.08.2001 00:00:00;3.019;405410;3.019
09.08.2001 00:00:00;2.982;405410;2.982
10.08.2001 00:00:00;2.994;405410;2.994
13.08.2001 00:00:00;2.984;405410;2.984
14.08.2001 00:00:00;3;405410;3
16.08.2001 00:00:00;3;405410;3
17.08.2001 00:00:00;2.988;405410;2.988
20.08.2001 00:00:00;2.98;405410;2.98
21.08.2001 00:00:00;2.97;405410;2.97
22.08.2001 00:00:00;2.97;405410;2.97
23.08.2001 00:00:00;2.94;405410;2.94
24.08.2001 00:00:00;2.95;405410;2.95
27.08.2001 00:00:00;2.95;405410;2.95
28.08.2001 00:00:00;2.951;405410;2.951
29.08.2001 00:00:00;2.978;405410;2.978
30.08.2001 00:00:00;3.014;405410;3.014
31.08.2001 00:00:00;2.992;405410;2.992
03.09.2001 00:00:00;2.964;405410;2.964
