Asof;Price;SecurityId;AdjustedPrice
20.07.2004 00:00:00;1.23;405414;1.23
21.07.2004 00:00:00;1.23;405414;1.23
22.07.2004 00:00:00;1.18;405414;1.18
23.07.2004 00:00:00;1.2025;405414;1.2025
26.07.2004 00:00:00;1.195;405414;1.195
27.07.2004 00:00:00;1.18;405414;1.18
28.07.2004 00:00:00;1.15;405414;1.15
29.07.2004 00:00:00;1.16;405414;1.16
30.07.2004 00:00:00;1.17;405414;1.17
02.08.2004 00:00:00;1.17;405414;1.17
03.08.2004 00:00:00;1.19;405414;1.19
04.08.2004 00:00:00;1.1575;405414;1.1575
05.08.2004 00:00:00;1.1675;405414;1.1675
06.08.2004 00:00:00;1.1525;405414;1.1525
09.08.2004 00:00:00;1.1375;405414;1.1375
10.08.2004 00:00:00;1.1275;405414;1.1275
11.08.2004 00:00:00;1.1175;405414;1.1175
12.08.2004 00:00:00;1.105;405414;1.105
13.08.2004 00:00:00;1.1125;405414;1.1125
16.08.2004 00:00:00;1.1;405414;1.1
17.08.2004 00:00:00;1.125;405414;1.125
18.08.2004 00:00:00;1.135;405414;1.135
19.08.2004 00:00:00;1.1575;405414;1.1575
20.08.2004 00:00:00;1.15;405414;1.15
23.08.2004 00:00:00;1.17;405414;1.17
24.08.2004 00:00:00;1.185;405414;1.185
25.08.2004 00:00:00;1.17;405414;1.17
26.08.2004 00:00:00;1.18;405414;1.18
27.08.2004 00:00:00;1.165;405414;1.165
31.08.2004 00:00:00;1.1675;405414;1.1675
01.09.2004 00:00:00;1.17;405414;1.17
02.09.2004 00:00:00;1.165;405414;1.165
03.09.2004 00:00:00;1.2025;405414;1.2025
06.09.2004 00:00:00;1.1925;405414;1.1925
07.09.2004 00:00:00;1.1875;405414;1.1875
08.09.2004 00:00:00;1.1975;405414;1.1975
09.09.2004 00:00:00;1.19;405414;1.19
10.09.2004 00:00:00;1.1775;405414;1.1775
13.09.2004 00:00:00;1.1575;405414;1.1575
14.09.2004 00:00:00;1.1625;405414;1.1625
15.09.2004 00:00:00;1.19;405414;1.19
16.09.2004 00:00:00;1.1725;405414;1.1725
17.09.2004 00:00:00;1.1775;405414;1.1775
20.09.2004 00:00:00;1.1375;405414;1.1375
21.09.2004 00:00:00;1.15;405414;1.15
22.09.2004 00:00:00;1.18;405414;1.18
23.09.2004 00:00:00;1.2;405414;1.2
24.09.2004 00:00:00;1.18;405414;1.18
27.09.2004 00:00:00;1.165;405414;1.165
28.09.2004 00:00:00;1.1525;405414;1.1525
29.09.2004 00:00:00;1.16;405414;1.16
30.09.2004 00:00:00;1.16;405414;1.16
01.10.2004 00:00:00;1.16;405414;1.16
04.10.2004 00:00:00;1.1825;405414;1.1825
05.10.2004 00:00:00;1.19;405414;1.19
06.10.2004 00:00:00;1.175;405414;1.175
07.10.2004 00:00:00;1.19;405414;1.19
08.10.2004 00:00:00;1.19;405414;1.19
11.10.2004 00:00:00;1.17;405414;1.17
12.10.2004 00:00:00;1.1775;405414;1.1775
13.10.2004 00:00:00;1.15;405414;1.15
14.10.2004 00:00:00;1.1525;405414;1.1525
15.10.2004 00:00:00;1.155;405414;1.155
18.10.2004 00:00:00;1.1475;405414;1.1475
19.10.2004 00:00:00;1.16;405414;1.16
20.10.2004 00:00:00;1.17;405414;1.17
21.10.2004 00:00:00;1.15;405414;1.15
22.10.2004 00:00:00;1.145;405414;1.145
25.10.2004 00:00:00;1.13;405414;1.13
26.10.2004 00:00:00;1.1525;405414;1.1525
27.10.2004 00:00:00;1.1575;405414;1.1575
28.10.2004 00:00:00;1.17;405414;1.17
29.10.2004 00:00:00;1.165;405414;1.165
01.11.2004 00:00:00;1.1675;405414;1.1675
02.11.2004 00:00:00;1.1625;405414;1.1625
03.11.2004 00:00:00;1.1575;405414;1.1575
04.11.2004 00:00:00;1.1875;405414;1.1875
05.11.2004 00:00:00;1.22;405414;1.22
08.11.2004 00:00:00;1.185;405414;1.185
09.11.2004 00:00:00;1.205;405414;1.205
10.11.2004 00:00:00;1.2625;405414;1.2625
11.11.2004 00:00:00;1.2775;405414;1.2775
12.11.2004 00:00:00;1.2825;405414;1.2825
15.11.2004 00:00:00;1.27;405414;1.27
16.11.2004 00:00:00;1.25;405414;1.25
17.11.2004 00:00:00;1.2325;405414;1.2325
18.11.2004 00:00:00;1.245;405414;1.245
19.11.2004 00:00:00;1.255;405414;1.255
22.11.2004 00:00:00;1.2475;405414;1.2475
23.11.2004 00:00:00;1.25;405414;1.25
24.11.2004 00:00:00;1.25;405414;1.25
25.11.2004 00:00:00;1.2475;405414;1.2475
26.11.2004 00:00:00;1.245;405414;1.245
29.11.2004 00:00:00;1.25;405414;1.25
30.11.2004 00:00:00;1.265;405414;1.265
01.12.2004 00:00:00;1.2475;405414;1.2475
02.12.2004 00:00:00;1.265;405414;1.265
03.12.2004 00:00:00;1.2925;405414;1.2925
06.12.2004 00:00:00;1.29;405414;1.29
07.12.2004 00:00:00;1.3;405414;1.3
08.12.2004 00:00:00;1.28;405414;1.28
09.12.2004 00:00:00;1.2625;405414;1.2625
