Asof;Price;SecurityId;AdjustedPrice
09.12.2008 00:00:00;58.75;432758;58.75
10.12.2008 00:00:00;57.75;432758;57.75
11.12.2008 00:00:00;52.5;432758;52.5
12.12.2008 00:00:00;54.5;432758;54.5
15.12.2008 00:00:00;51.25;432758;51.25
16.12.2008 00:00:00;51;432758;51
17.12.2008 00:00:00;51;432758;51
18.12.2008 00:00:00;51;432758;51
19.12.2008 00:00:00;52;432758;52
22.12.2008 00:00:00;50.5;432758;50.5
23.12.2008 00:00:00;50.25;432758;50.25
29.12.2008 00:00:00;50.25;432758;50.25
30.12.2008 00:00:00;49;432758;49
02.01.2009 00:00:00;49.8;432758;49.8
05.01.2009 00:00:00;47.1;432758;47.1
07.01.2009 00:00:00;47;432758;47
08.01.2009 00:00:00;47;432758;47
09.01.2009 00:00:00;51.25;432758;51.25
12.01.2009 00:00:00;53.5;432758;53.5
13.01.2009 00:00:00;55.5;432758;55.5
14.01.2009 00:00:00;57.75;432758;57.75
15.01.2009 00:00:00;59.25;432758;59.25
16.01.2009 00:00:00;60;432758;60
19.01.2009 00:00:00;59.5;432758;59.5
20.01.2009 00:00:00;60.5;432758;60.5
21.01.2009 00:00:00;60;432758;60
22.01.2009 00:00:00;60.25;432758;60.25
23.01.2009 00:00:00;62;432758;62
26.01.2009 00:00:00;63;432758;63
27.01.2009 00:00:00;63.5;432758;63.5
28.01.2009 00:00:00;60.5;432758;60.5
29.01.2009 00:00:00;61.5;432758;61.5
30.01.2009 00:00:00;62;432758;62
02.02.2009 00:00:00;62.5;432758;62.5
03.02.2009 00:00:00;62.5;432758;62.5
04.02.2009 00:00:00;63.5;432758;63.5
05.02.2009 00:00:00;65;432758;65
06.02.2009 00:00:00;67.75;432758;67.75
09.02.2009 00:00:00;68;432758;68
10.02.2009 00:00:00;65.75;432758;65.75
11.02.2009 00:00:00;64.25;432758;64.25
12.02.2009 00:00:00;64;432758;64
13.02.2009 00:00:00;63;432758;63
16.02.2009 00:00:00;65.5;432758;65.5
17.02.2009 00:00:00;64;432758;64
18.02.2009 00:00:00;66;432758;66
19.02.2009 00:00:00;69.75;432758;69.75
20.02.2009 00:00:00;69.25;432758;69.25
23.02.2009 00:00:00;70.5;432758;70.5
24.02.2009 00:00:00;65;432758;65
25.02.2009 00:00:00;63.5;432758;63.5
26.02.2009 00:00:00;63;432758;63
27.02.2009 00:00:00;59.75;432758;59.75
02.03.2009 00:00:00;61;432758;61
03.03.2009 00:00:00;60.75;432758;60.75
04.03.2009 00:00:00;64.75;432758;64.75
05.03.2009 00:00:00;64.5;432758;64.5
06.03.2009 00:00:00;64.75;432758;64.75
09.03.2009 00:00:00;64.25;432758;64.25
10.03.2009 00:00:00;67.5;432758;67.5
11.03.2009 00:00:00;67.5;432758;67.5
12.03.2009 00:00:00;66.75;432758;66.75
13.03.2009 00:00:00;67.75;432758;67.75
16.03.2009 00:00:00;65.5;432758;65.5
17.03.2009 00:00:00;63;432758;63
18.03.2009 00:00:00;64.75;432758;64.75
19.03.2009 00:00:00;61.5;432758;61.5
20.03.2009 00:00:00;61.5;432758;61.5
23.03.2009 00:00:00;61.5;432758;61.5
24.03.2009 00:00:00;62;432758;62
25.03.2009 00:00:00;63.5;432758;63.5
26.03.2009 00:00:00;63.5;432758;63.5
27.03.2009 00:00:00;64.25;432758;64.25
30.03.2009 00:00:00;64.5;432758;64.5
31.03.2009 00:00:00;63.5;432758;63.5
01.04.2009 00:00:00;66;432758;66
02.04.2009 00:00:00;66.75;432758;66.75
03.04.2009 00:00:00;66;432758;66
06.04.2009 00:00:00;64.5;432758;64.5
07.04.2009 00:00:00;64.75;432758;64.75
08.04.2009 00:00:00;66;432758;66
09.04.2009 00:00:00;67.5;432758;67.5
14.04.2009 00:00:00;66.25;432758;66.25
15.04.2009 00:00:00;65;432758;65
16.04.2009 00:00:00;67;432758;67
17.04.2009 00:00:00;66.25;432758;66.25
20.04.2009 00:00:00;65;432758;65
21.04.2009 00:00:00;63;432758;63
22.04.2009 00:00:00;65;432758;65
23.04.2009 00:00:00;65.5;432758;65.5
24.04.2009 00:00:00;66.5;432758;66.5
27.04.2009 00:00:00;67.5;432758;67.5
28.04.2009 00:00:00;67.25;432758;67.25
29.04.2009 00:00:00;68;432758;68
30.04.2009 00:00:00;68.75;432758;68.75
04.05.2009 00:00:00;69.25;432758;69.25
05.05.2009 00:00:00;69.5;432758;69.5
06.05.2009 00:00:00;70;432758;70
07.05.2009 00:00:00;70.25;432758;70.25
08.05.2009 00:00:00;68;432758;68
11.05.2009 00:00:00;71;432758;71
12.05.2009 00:00:00;71;432758;71
13.05.2009 00:00:00;70;432758;70
