TransactionDateTime;SecurityId;Shares;TargetAmountEur;TransactionType;Cancelled;TargetWeight;EffectiveWeight;EffectiveAmountEur
05.01.2000 00:00:00;39;344;10000.0;1;0;0.1;0.1000;10000.08
05.01.2000 00:00:00;40;304;10000.0;1;0;0.1;0.1000;9996.5232
05.01.2000 00:00:00;16;253;10000.0;1;0;0.1;0.0999;9994.2586
05.01.2000 00:00:00;11;153;10000.0;1;0;0.1;0.0998;9983.25
05.01.2000 00:00:00;23;128;10000.0;1;0;0.1;0.0994;9943.0400
05.01.2000 00:00:00;14;497;10000.0;1;0;0.1;0.1000;9996.658
05.01.2000 00:00:00;1;131;10000.0;1;0;0.1;0.1000;9999.6230
05.01.2000 00:00:00;27;300;10000.0;1;0;0.1;0.0998;9984.6004
05.01.2000 00:00:00;7;124;10000.0;1;0;0.1;0.0995;9951.00
05.01.2000 00:00:00;9;41;10000.0;1;0;0.1;0.0998;9982.8437
19.01.2000 00:00:00;39;254;13065.5262;3;0;0.2;0.0849;9796.78
19.01.2000 00:00:00;7;-124;-10000.0;2;0;0;-0.0912;-10515.2004
19.01.2000 00:00:00;40;260;13065.5262;3;0;0.2;0.0921;10625.3420
19.01.2000 00:00:00;27;-300;-10000.0;2;0;0;-0.0974;-11231.1001
19.01.2000 00:00:00;16;268;13065.5262;3;0;0.2;0.1028;11859.00
19.01.2000 00:00:00;23;-128;-10000.0;2;0;0;-0.0977;-11264
19.01.2000 00:00:00;14;499;13065.5262;3;0;0.2;0.1002;11552.2991
19.01.2000 00:00:00;9;-41;-10000.0;2;0;0;-0.1014;-11698.6533
19.01.2000 00:00:00;11;180;13065.5262;3;0;0.2;0.1081;12465.00
19.01.2000 00:00:00;1;-131;-10000.0;2;0;0;-0.0994;-11462.5
02.02.2000 00:00:00;39;364;18189.0222;3;0;0.33;0.1248;15601.04
02.02.2000 00:00:00;11;-223;-14889.6248;3;0;0.0654;-0.1325;-16568.9007
02.02.2000 00:00:00;16;347;18189.0222;3;0;0.33;0.1319;16491.1755
02.02.2000 00:00:00;14;-485;-10564.1479;3;0;0.1;-0.0948;-11855.7765
16.02.2000 00:00:00;11;41;-25056.9051;1;0;0.1;0.0270;3485
16.02.2000 00:00:00;14;-511;-33629.6741;2;0;0;-0.1036;-13359.4818
01.03.2000 00:00:00;11;163;16065.6675;3;0;0.2;0.1035;14994.3697
01.03.2000 00:00:00;16;-403;-17359.3199;3;0;0.165;-0.1428;-20673.8997
15.03.2000 00:00:00;11;-139;-14590.5188;3;0;0.1;-0.0792;-11382.7099
16.03.2000 00:00:00;39;-576;-18429.3609;3;0;0.165;-0.2459;-34012.80
21.03.2000 00:00:00;39;-145;-45728.5168;3;0;0.1;-0.0601;-8382.45
30.03.2000 00:00:00;11;-175;-43554.4322;2;0;0;-0.1043;-14577.5005
03.04.2000 00:00:00;39;-241;-105412.4261;2;0;0;-0.1097;-14917.9
03.04.2000 00:00:00;40;-181;-9471.7998;3;0;0.1;-0.0472;-6416.45
04.04.2000 00:00:00;40;-383;-32537.3260;2;0;0;-0.1043;-14151.85
05.04.2000 00:00:00;39;236;13534.9264;1;0;0.1;0.0996;13485.04
05.04.2000 00:00:00;31;103;13534.9264;1;0;0.1;0.0999;13516.6896
05.04.2000 00:00:00;40;344;13534.9264;1;0;0.1;0.0998;13507.7448
05.04.2000 00:00:00;9;43;13534.9264;1;0;0.1;0.0982;13291.7727
05.04.2000 00:00:00;11;180;13534.9264;1;0;0.1;0.0997;13500
05.04.2000 00:00:00;23;157;13534.9264;1;0;0.1;0.1000;13533.3995
05.04.2000 00:00:00;32;342;13534.9264;1;0;0.1;0.0998;13505.5806
05.04.2000 00:00:00;24;359;13534.9264;1;0;0.1;0.1000;13534.3003
17.04.2000 00:00:00;16;-191;-45386.3356;3;0;0.1;-0.0697;-9217.6597
03.05.2000 00:00:00;39;210;-195775.7188;3;0;0.2;0.0941;13450.50
03.05.2000 00:00:00;24;-359;-13534.9264;2;0;0;-0.0970;-13857.3995
03.05.2000 00:00:00;16;181;-75416.1441;3;0;0.2;0.0794;11348.7001
03.05.2000 00:00:00;40;298;-50025.5186;3;0;0.2;0.0928;13261.0
03.05.2000 00:00:00;11;-180;-100643.7908;2;0;0;-0.0879;-12564.0005
03.05.2000 00:00:00;31;90;15049.1334;3;0;0.2;0.0932;13317.3001
03.05.2000 00:00:00;32;-342;-13534.9264;2;0;0;-0.0945;-13505.5806
03.05.2000 00:00:00;23;-157;-33534.9264;2;0;0;-0.1006;-14381.1998
03.05.2000 00:00:00;1;131;14292.0299;1;0;0.1;0.0997;14244.0232
03.05.2000 00:00:00;9;-43;-33534.9264;2;0;0;-0.0907;-12964.5866
03.05.2000 00:00:00;27;289;14292.0299;1;0;0.1;0.0999;14280.6464
